Citrus Heights Beauty College,chbeautycollege.com,CA
Faith Theological Seminary,fts.edu,MD
Virginia Tech Carilion School of Medicine,www.vtc.vt.edu,VA
Washington Barber College Inc,www.washingtonbarbercollege.edu/,AR
Empire Beauty School-Speedway,www.empire.edu,IN
Finger Lakes School of Massage,www.flsm.com/,NY
Ridley-Lowell Business & Technical Institute-Danbury,www.ridley.edu,CT
Estelle Skin Care and Spa Institute,www.estelle.edu,IL
Acaydia School of Aesthetics,www.acaydia.com,UT
Carolina College of Hair Design,carolinacollege.com,NC
Carolina College of Biblical Studies,ccbs.edu,NC
American Technical Institute,www.amtec.edu,PR
Diamonds Cosmetology College,www.diamondscosmetology.com/,TX
College of Massage Therapy,www.collegemassagetherapy.com,ID
Aveda Institute-Boise,www.avedaidaho.com,ID
Northern Virginia School of Therapeutic Massage,www.nvschoolofmassage.com/,VA
New York Film Academy,www.nyfa.edu,CA
Miller-Motte Technical College-Conway,www.miller-motte.edu,SC
Institute of Medical Careers,https://www.imbc.edu,PA
Aveda Institute-Portland,avedapdx.com,OR
Flagler Technical Institute,fti.flaglerschools.com,FL
Paul Mitchell the School-Las Vegas,paulmitchell.edu/lasvegas,NV
Academy for Salon Professionals,www.academyla.com/,CA
Trend Setters' Academy of Beauty Culture-Louisville,www.trendsettersabc.com,KY
Hair Design Institute,hairdesigninstitute.edu,FL
Aveda Institute-Des Moines,avedainstitutedesmoines.com/,IA
Brown Mackie College-Birmingham,www.brownmackie.edu/locations/birmingham,AL
Utah College of Massage Therapy-Phoenix,www.steinered.com/,AZ
American Broadcasting School-Online Program,radioschoolonline.com/homechat.htm,OK
International School of Cosmetology,toniguy.com/academy/costa_mesa_beauty_school/default.aspx,CA
Marian Health Careers Center-Van Nuys Campus,www.mariancollege.edu,CA
Avalon School of Cosmetology-Phoenix,avalon.edu/locations/phoenix-az/,AZ
Midwest Technical Institute-Moline,www.midwesttech.edu,IL
Porter and Chester Institute of Woburn -closed 10/6/2017,www.porterchester.com,MA
American National University-Dayton,https://www.an.edu/locations/dayton-oh/,OH
Franklin Career Institute,www.franklincareer.edu,NY
International Yacht Restoration School,iyrs.edu,RI
SW School of Business & Technical Careers,www.sws.edu,TX
Criswell College,www.criswell.edu,TX
Beverly Hills Design Institute,www.bhdi.edu,CA
Milan Institute-Las Vegas,www.milaninstitute.edu,NV
Virginia College-Savannah,www.vc.edu/,GA
UCAS Univeristy of Cosmetology Arts & Sciences-La Joya,www.ucastx.com,TX
Annenberg School of Nursing,www.asn.edu,CA
Miami Ad School-New York,www.miamiadschool.com,NY
Chamberlain University-Georgia,www.chamberlain.edu,GA
Christine Valmy International School of Esthetics & Cosmetology,www.christinevalmy.com,NJ
Futura Career Institute,www.futuracareerinstitute.net,FL
Brown Mackie College-Oklahoma City,www.brownmackie.edu/locations/oklahoma-city,OK
Rocky Mountain University of Health Professions,https://www.rmuohp.edu,UT
Eternity Cosmetology School Corp,www.eternitycschool.com,FL
Palmetto Beauty School,www.palmettocosmo.com,SC
Tomorrow's Image Barber And Beauty Academy of Virginia,www.tomorrowsimage.com,VA
Virginia College-Tulsa,www.vc.edu,OK
Empire Beauty School-Savannah,www.empire.edu,GA
Medical Allied Career Center,www.medicalalliedcareercenter.com,CA
Medical Career Institute,www.mcinj.edu,NJ
Aesthetic Science Institute,www.aestheticscienceinstitute.edu,NY
Brand College,brandcollege.edu,CA
Mitsu Sato Hair Academy,www.mitsusatohairacademy.com,KS
Digital Film Academy,www.digitalfilmacademy.edu,NY
Warner Pacific College Adult Degree Program,www.warnerpacific.edu/admissions/adult-degree-program,OR
National American University-Burnsville,www.national.edu/locations/campuses/burnsville/,MN
ATEP at IVC,www.atep.us/,CA
Harrison College-Columbus,harrison.edu,IN
Harrison College-Lafayette,harrison.edu,IN
Wentworth Institute of Technology,www.wit.edu,MA
Harrison College-Fort Wayne,harrison.edu,IN
Ivy Tech Community College-Columbus,www.ivytech.edu/columbus/,IN
Ivy Tech Community College-Lafayette,www.ivytech.edu/lafayette/,IN
Ivy Tech Community College-Southwest,www.ivytech.edu/evansville/,IN
New Beginning College of Cosmetology,www.nbccosmetology.com,AL
Colton-Redlands-Yucaipa Regional Occupational Program,www.cryrop.org,CA
MotoRing Technical Training Institute,mtti.edu,RI
Columbia College,www.ccdc.edu,VA
Yeshiva Gedolah Zichron Leyma,yeshivagedolahzichronleyma.com,NJ
SAE Institute of Technology-Atlanta,www.usa.sae.edu,GA
The Barber School,www.thebarberschool.com,UT
South University-Cleveland,"www.southuniversity.edu/cleveland#location=Cleveland,%20OH",OH
Colorado State University-Global Campus,https://csuglobal.edu,CO
Alexander Academy,www.alexanderacademy.com,MA
Ogle School Hair Skin Nails-San Antonio,www.ogleschool.edu,TX
Brighton Institute of Cosmetology,www.brightoninstitute.net,MI
University Academy of Hair Design,www.uahairdesign.com,AL
Ivy Tech Community College-Southeast,www.ivytech.edu/madison/,IN
Blue Cliff College,www.bluecliffcollege.edu,LA
ECPI University-Charlotte,www.ecpi.edu,NC
ECPI University-Culinary Institute of Virginia,www.ecpi.edu,VA
Vista College-Beaumont,vistacollege.edu,TX
Strayer University-Cedar Hill,www.strayer.edu/texas/cedar-hill,TX
Strayer University-Stafford,www.strayer.edu/texas/stafford,TX
American Sentinel University,www.americansentinel.edu,CO
Real Barbers College,www.therealbarbercollege.com,CA
International College of Cosmetology,www.icoc.edu,CA
Lindsey Institute of Cosmetology,www.lindseyinstitute.com,KY
Shepherds Theological Seminary,shepherds.edu,NC
Atelier Esthetique Institute of Esthetics,www.aeinstitute.net,NY
Grace College of Divinity,www.GCD.edu,NC
North American University,www.na.edu,TX
Skin Institute,www.skininstitute.edu,MO
Aveda Institute-New Mexico,www.avedanm.com,NM
Ogle School Hair Skin Nails-North Dallas,www.ogleschool.edu,TX
American College for Medical Careers,www.acmc.edu,FL
Mandalyn Academy,www.mandalynacademy.com,UT
Keweenaw Bay Ojibwa Community College,www.kbocc.edu,MI
Long Island Nail & Skin Care Institute,www.longislandnailandskincareinstitute.edu,NY
Best Care College,bestcarehealth.com,NJ
Independence University,www.independence.edu,UT
National American University-Tulsa,www.national.edu/locations/campuses/tulsa/,OK
Abcott Institute,www.abcott.edu,MI
The Salon Professional Academy-Kenosha,kenoshatspa.com/,WI
Seymour Beauty Academy,www.SeymourBeautyAcademy.com,MO
Paul Mitchell the School-Charleston,paulmitchell.edu/charleston,SC
Northeast Technical Institute,www.ntinow.edu,ME
National Personal Training Institute of Colorado,www.personaltraininginstitute.edu,CO
South University-The Art Institute of Fort Worth,www.artinstitutes.edu/fort-worth/,TX
The Salon Professional Academy-Shorewood,www.thesalonprofessionalacademy.com/,IL
Carrington College-Pomona,www.carrington.edu,CA
Florida Academy,www.florida-academy.edu,FL
Northwest College-Tualatin,www.nwcollege.edu,OR
Harrison College-Morrisville,harrison.edu,NC
Beauty Schools of America,www.bsa.edu,FL
Houston Training Schools-Southwest,houstontrainingschools.net,TX
The Art Institute of Wisconsin,www.artinstitutes.edu/milwaukee,WI
San Jose Campus,www.fivebranches.edu,CA
San Joaquin Valley College - Hanford,www.sjvc.edu,CA
Jesuit School of Theology of Santa Clara University,www.scu.edu/jst,CA
PJ's College of Cosmetology- Louisville,https://www.gotopjs.com,KY
Moody Bible Institute-Spokane,www.moody.edu/spokane/,WA
PJ's College of Cosmetology-Crestwood,https://www.gotopjs.com,KY
Connecticut Aero Tech  School,www.cttech.org/cats/,CT
Southwest School of Business and Technical Careers-Corpus Christi,www.sws.edu,TX
Shasta School of Cosmetology,www.shastaschoolofcosmetology.com,CA
Institute of Advanced Medical Esthetics,www.theinstituteofadvancedmedicalesthetics.com,VA
Harrison College-Grove City,harrison.edu,OH
The Salon Professional Academy-Onalaska,salonproacademy.com/,WI
Portland Actors Conservatory,pac.edu,OR
American Business and Technology University,abtu.edu,MO
Metro Beauty Academy,www.metrobeautyacademy.edu/,PA
Fortis College-Grand Prairie,www.fortis.edu/,TX
Aiken School of Cosmetology and Barbering,www.aikenschoolofcosmetology.com,SC
Bryant & Stratton College-Bayshore,www.bryantstratton.edu,WI
International Academy of Style,www.internationalacademyofstyle.com,NV
Midwest Technical Institute-East Peoria,www.midwesttech.edu,IL
The Art Institute of San Antonio,www.artinstitutes.edu/san-antonio,TX
Salon & Spa Institute,www.ssi.edu,TX
South University-Virginia Beach,"www.southuniversity.edu/virginia-beach#location=Virginia%20Beach,%20VA",VA
Paul Mitchell the School-Milwaukee,paulmitchell.edu/milwaukee,WI
The Salon Professional Academy-Evansville,www.tspaevansville.com,IN
Tri County Regional Vocational Technical High School,www.tri-county.us,MA
The Chicago School of Professional Psychology at Washington DC,www.thechicagoschool.edu,DC
Strayer University-Arkansas,www.strayer.edu/arkansas/little-rock,AR
Paul Mitchell the School-Fresno,paulmitchell.edu/fresno,CA
SAE Institute of Technology-New York,newyork.sae.edu/en-us/home/,NY
Strayer University-Mississippi,www.strayer.edu/mississippi/jackson,MS
Southern California University SOMA,www.scusoma.edu,CA
Harris School of Business-Upper Darby Campus,www.harrisschool.edu,PA
Ross Medical Education Center-Niles,www.rosseducation.edu,OH
Herzing University-Kenosha,www.herzing.edu/,WI
Illinois Media School-Chicago Campus,www.beonair.com/chicago,IL
South Texas Vocational Technical Institute-San Antonio,www.stvt.edu/,TX
Brown Mackie College-St Louis,www.brownmackie.edu/locations/st-louis,MO
Milan Institute-Nampa,www.milaninstitute.edu,ID
Rasmussen College-Blaine,www.rasmussen.edu,MN
Rasmussen College-Fort Myers,www.rasmussen.edu,FL
SW School of Business and Technical Careers-North Campus,www.sws.edu,TX
Strayer University-Woodbridge Campus,www.strayer.edu/virginia/woodbridge,VA
Vanguard College of Cosmetology-Baton Rouge,paulmitchell.edu/batonrouge,LA
National Career College,www.nccusa.edu,CA
Empire Beauty School-Spring Lake Park,www.empire.edu,MN
Tricoci University of Beauty Culture-Bridgeview,www.tricociuniversity.edu,IL
Argosy University-Phoenix Online Division,www.argosy.edu/locations/online,AZ
Pima Medical Institute-East Valley,pmi.edu,AZ
Paul Mitchell the School-Cleveland,paulmitchell.edu/cleveland/,OH
InterCoast Colleges-Rancho Cordova,www.intercoast.edu,CA
Arkansas College of Barbering and Hair Design,www.arkansascollegeofbarbering.com,AR
Career Academy of Hair Design-Siloam Springs,www.beautynwa.com,AR
Bucks County Community College-Lower Bucks Campus,www.bucks.edu,PA
Harrisburg Area Community College-Gettysburg,www.hacc.edu,PA
Vista College Amarillo,vistacollege.edu,TX
Cincinnati School of Medical Massage,www.massageschools.com,OH
CC's Cosmetology College,www.cccosmetologycollege.com,OK
CC's Cosmetology College-Texarkana,www.cccosmetologcollege.com,AR
Florida School of Massage,www.floridaschoolofmassage.com/,FL
Instituto Tecnologico de Puerto Rico-Recinto de Manati,itec.pr/ITPR-Joomla/,PR
Paul Mitchell the School-Huntsville,https://paulmitchell.edu/huntsville,AL
Woodland Community College,https://wcc.yccd.edu,CA
Emerald Coast Technical College,www.ectc.edu,FL
University of Fort Lauderdale,uftl.edu/,FL
Geisinger Commonwealth School of Medicine,www.tcmc.edu,PA
Keune Academy by 124,www.keuneacademyby124.edu,GA
Paul Mitchell the School-Normal,paulmitchell.edu/normal/,IL
Summit Salon Academy-Anderson,www.andersonsalonacademy.com,IN
The Salon Professional Academy-Lewisville,www.tspadallas.com,TX
Academy of Cosmetology and Esthetics NYC,www.theacademynyc.com,NY
Miller-Motte College-Fayetteville,www.miller-motte.edu,NC
Marketti Academy of Cosmetology,www.marketticosmetology.com/,MI
